Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;135882.96;447235.67;500;500;80.36;-99.64
A;135881.97;447235.84;500;500;80.36;-99.64
A;135880.99;447236.0;500;500;80.36;-99.64
A;135880.0;447236.17;500;500;80.36;-99.64
A;135879.02;447236.34;500;500;80.36;-99.64
A;135878.03;447236.51;500;500;80.36;-99.64
A;135877.04;447236.67;500;500;80.36;-99.64
A;135876.06;447236.84;500;500;80.36;-99.64
A;135875.07;447237.01;500;500;80.36;-99.64
A;135874.09;447237.18;500;500;80.36;-99.64
A;135873.1;447237.34;500;500;80.36;-99.64
A;135872.12;447237.51;500;500;80.36;-99.64
A;135871.13;447237.68;500;500;80.36;-99.64
A;135870.14;447237.85;500;500;80.36;-99.64
A;135869.16;447238.01;500;500;80.36;-99.64
A;135868.17;447238.18;500;500;80.36;-99.64
A;135867.19;447238.35;500;500;80.36;-99.64
A;135866.2;447238.52;500;500;80.36;-99.64
A;135865.21;447238.68;500;500;80.36;-99.64
A;135864.23;447238.85;500;500;80.36;-99.64
A;135863.24;447239.02;500;500;80.36;-99.64
A;135862.26;447239.19;500;500;80.36;-99.64
A;135861.27;447239.35;500;500;80.36;-99.64
A;135860.28;447239.52;500;500;80.36;-99.64
A;135859.3;447239.69;500;500;80.36;-99.64
A;135858.31;447239.86;500;500;80.36;-99.64
A;135857.33;447240.02;500;500;80.36;-99.64
A;135856.34;447240.19;500;500;80.36;-99.64
A;135855.36;447240.36;500;500;80.36;-99.64
A;135854.37;447240.53;500;500;80.36;-99.64
A;135853.38;447240.69;500;500;80.36;-99.64
A;135852.4;447240.86;450;500;115.42;-64.58
A;135851.57;447240.47;500;403;132.08;-47.92
A;135850.83;447239.8;500;403;132.08;-47.92
A;135850.09;447239.13;500;404;132.08;-47.92
A;135849.35;447238.46;500;405;132.08;-47.92
A;135848.61;447237.79;500;405;132.08;-47.92
A;135847.86;447237.12;500;406;132.08;-47.92
A;135847.12;447236.45;500;407;132.08;-47.92
A;135846.38;447235.78;500;408;132.08;-47.92
