Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;99455.96;436741.01;17;6;-63.01;116.99
A;99456.6;436741.33;200;500;-108.44;71.56
A;99457.55;436741.02;197;500;-108.44;71.56
A;99458.5;436740.7;195;500;-108.44;71.56
A;99459.45;436740.39;192;500;-108.44;71.56
A;99460.4;436740.07;190;500;-108.44;71.56
A;99461.34;436739.75;12;500;-108.44;71.56
A;99462.29;436739.44;12;500;-108.44;71.56
A;99463.24;436739.12;12;500;-108.44;71.56
A;99464.19;436738.8;12;500;-108.44;71.56
A;99465.14;436738.49;92;15;-46.95;133.05
A;99465.68;436739.0;48;400;-19.53;160.47
A;99466.02;436739.94;45;399;-19.53;160.47
A;99466.35;436740.88;43;399;-19.53;160.47
A;99466.69;436741.83;43;14;-19.53;160.47
A;99467.02;436742.77;43;14;-19.53;160.47
A;99467.36;436743.71;44;14;-19.53;160.47
A;99467.69;436744.65;44;14;-19.53;160.47
A;99468.02;436745.59;44;14;-19.53;160.47
A;99468.36;436746.54;45;14;-19.53;160.47
A;99468.69;436747.48;43;14;-19.53;160.47
A;99469.03;436748.42;40;14;-19.53;160.47
A;99469.36;436749.36;40;14;-19.53;160.47
A;99469.7;436750.31;41;14;-19.53;160.47
A;99470.03;436751.25;41;419;-19.53;160.47
A;99470.36;436752.19;39;418;-19.53;160.47
A;99470.7;436753.13;36;418;-19.53;160.47
A;99471.03;436754.08;35;429;-19.53;160.47
A;99471.37;436755.02;35;428;-19.53;160.47
A;99471.7;436755.96;35;11;-19.53;160.47
A;99472.04;436756.9;36;11;-19.53;160.47
A;99472.37;436757.85;36;11;-19.53;160.47
A;99472.7;436758.79;36;11;-19.53;160.47
A;99473.04;436759.73;37;11;-19.53;160.47
A;99473.37;436760.67;37;11;-19.53;160.47
A;99473.71;436761.62;37;11;-19.53;160.47
A;99474.04;436762.56;37;11;-19.53;160.47
A;99474.38;436763.5;38;11;-19.53;160.47
A;99474.71;436764.44;48;11;-19.53;160.47
A;99475.04;436765.39;48;11;-19.53;160.47
A;99475.38;436766.33;48;105;-19.53;160.47
A;99475.71;436767.27;48;105;-19.53;160.47
A;99476.05;436768.21;161;105;-19.53;160.47
A;99476.38;436769.16;159;13;-19.53;160.47
A;99476.72;436770.1;157;13;-19.53;160.47
A;99477.05;436771.04;156;13;-19.53;160.47
A;99477.38;436771.98;154;13;-19.53;160.47
A;99477.72;436772.93;152;12;-19.53;160.47
A;99478.05;436773.87;150;12;-19.53;160.47
A;99478.39;436774.81;148;12;-19.53;160.47
A;99478.72;436775.75;147;12;-19.53;160.47
A;99479.06;436776.7;145;12;-19.53;160.47
A;99479.39;436777.64;143;12;-19.53;160.47
A;99479.72;436778.58;141;12;-19.53;160.47
A;99480.06;436779.52;139;12;-19.53;160.47
A;99480.39;436780.47;138;12;-19.53;160.47
A;99480.73;436781.41;136;12;-19.53;160.47
A;99481.06;436782.35;134;12;-19.53;160.47
A;99481.4;436783.29;132;12;-19.53;160.47
A;99481.73;436784.23;130;12;-19.53;160.47
A;99482.06;436785.18;129;12;-19.53;160.47
A;99482.4;436786.12;127;12;-19.53;160.47
A;99482.73;436787.06;46;12;-19.53;160.47
A;99483.07;436788.0;43;500;-19.53;160.47
A;99483.4;436788.95;44;500;-19.53;160.47
A;99483.74;436789.89;119;500;-19.53;160.47
A;99484.07;436790.83;115;500;-19.53;160.47
A;99484.4;436791.77;55;500;-19.53;160.47
A;99484.74;436792.72;55;500;-19.53;160.47
A;99485.07;436793.66;50;500;-19.53;160.47
A;99485.41;436794.6;50;500;-19.53;160.47
A;99485.74;436795.54;50;500;-19.53;160.47
A;99486.08;436796.49;55;500;-19.53;160.47
A;99486.41;436797.43;55;500;-19.53;160.47
A;99486.75;436798.37;51;500;-19.53;160.47
A;99487.08;436799.31;51;500;-19.53;160.47
A;99487.41;436800.26;51;500;-19.53;160.47
A;99487.75;436801.2;51;500;-19.53;160.47
A;99488.08;436802.14;51;500;-19.53;160.47
A;99488.42;436803.08;51;500;-19.53;160.47
A;99488.75;436804.03;55;500;-19.53;160.47
A;99489.09;436804.97;55;500;-19.53;160.47
A;99489.42;436805.91;54;500;-19.53;160.47
A;99489.75;436806.85;54;500;-19.53;160.47
A;99490.09;436807.8;54;500;-19.53;160.47
A;99490.42;436808.74;54;500;-19.53;160.47
A;99490.76;436809.68;36;500;-19.53;160.47
A;99491.09;436810.62;36;500;-19.53;160.47
A;99491.43;436811.57;36;500;-19.53;160.47
A;99491.76;436812.51;36;500;-19.53;160.47
A;99492.09;436813.45;36;500;-19.53;160.47
A;99492.43;436814.39;36;500;-19.53;160.47
A;99492.76;436815.34;36;500;-19.53;160.47
A;99493.1;436816.28;36;500;-19.53;160.47
A;99493.43;436817.22;36;500;-19.53;160.47
A;99493.77;436818.16;36;500;-19.53;160.47
A;99494.1;436819.11;36;500;-19.53;160.47
A;99494.43;436820.05;36;500;-19.53;160.47
A;99494.77;436820.99;36;500;-19.53;160.47
A;99495.1;436821.93;36;500;-19.53;160.47
A;99495.44;436822.88;42;500;-19.53;160.47
A;99495.77;436823.82;48;500;-19.53;160.47
A;99496.11;436824.76;48;500;-19.53;160.47
A;99496.44;436825.7;48;500;-19.53;160.47
A;99496.77;436826.64;54;500;-19.53;160.47
A;99497.11;436827.59;43;500;-19.53;160.47
