Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;191223.5;508901.56;389;314;-58.3;121.7
A;191224.35;508902.09;391;431;-58.3;121.7
A;191225.2;508902.61;394;430;-58.3;121.7
A;191226.05;508903.14;431;429;-58.3;121.7
A;191226.91;508903.66;431;428;-58.3;121.7
A;191227.76;508904.19;431;427;-58.3;121.7
A;191228.61;508904.71;399;428;-58.3;121.7
A;191229.46;508905.24;399;429;-58.3;121.7
A;191230.31;508905.77;383;431;-58.3;121.7
A;191231.16;508906.29;383;432;-58.3;121.7
A;191232.01;508906.82;425;343;-54.09;125.91
A;191232.82;508907.4;380;343;-53.22;126.78
A;191233.62;508908.0;379;342;-53.22;126.78
A;191234.42;508908.6;326;343;-53.22;126.78
A;191235.22;508909.2;326;343;-53.22;126.78
A;191236.02;508909.8;326;343;-53.22;126.78
A;191236.82;508910.4;326;344;-53.22;126.78
A;191237.63;508910.99;326;346;-53.22;126.78
A;191238.43;508911.59;325;328;-53.22;126.78
A;191239.23;508912.19;325;315;-53.22;126.78
A;191240.03;508912.79;325;314;-53.22;126.78
A;191240.83;508913.39;328;314;-53.22;126.78
A;191241.63;508913.99;329;314;-53.22;126.78
A;191242.43;508914.59;329;314;-53.22;126.78
A;191243.23;508915.19;328;314;-53.22;126.78
A;191244.03;508915.78;328;314;-53.22;126.78
A;191244.83;508916.38;328;314;-53.22;126.78
A;191245.64;508916.98;327;314;-53.22;126.78
A;191246.44;508917.58;328;314;-53.22;126.78
A;191247.24;508918.18;377;441;-53.22;126.78
A;191248.04;508918.78;380;440;-53.22;126.78
A;191248.84;508919.38;370;438;-53.22;126.78
A;191249.64;508919.98;370;437;-53.22;126.78
A;191250.44;508920.57;355;436;-53.22;126.78
A;191251.24;508921.17;354;435;-53.22;126.78
A;191252.04;508921.77;354;434;-53.22;126.78
A;191252.84;508922.37;355;433;-53.22;126.78
A;191253.65;508922.97;367;432;-53.22;126.78
A;191254.45;508923.57;322;431;-53.22;126.78
A;191255.25;508924.17;321;430;-53.22;126.78
A;191256.05;508924.77;321;429;-53.22;126.78
A;191256.85;508925.36;321;428;-53.22;126.78
A;191257.65;508925.96;321;427;-53.22;126.78
A;191258.45;508926.56;321;426;-53.22;126.78
A;191259.25;508927.16;321;427;-53.22;126.78
A;191260.05;508927.76;304;349;-44.76;135.24
A;191260.76;508928.47;305;358;-45.05;134.95
A;191261.46;508929.17;319;428;-52.45;127.55
A;191262.26;508929.78;319;426;-52.45;127.55
A;191263.05;508930.39;319;426;-52.45;127.55
A;191263.84;508931.0;319;427;-52.45;127.55
A;191264.64;508931.61;20;428;-52.45;127.55
A;191265.43;508932.22;20;429;-52.45;127.55
A;191266.22;508932.83;20;430;-52.45;127.55
A;191267.01;508933.44;20;431;-52.45;127.55
A;191267.81;508934.05;20;432;-52.45;127.55
A;191268.6;508934.66;20;432;-52.45;127.55
A;191269.39;508935.27;22;433;-52.45;127.55
A;191270.19;508935.88;369;434;-52.45;127.55
A;191270.98;508936.49;355;435;-52.45;127.55
A;191271.77;508937.1;355;436;-52.45;127.55
A;191272.56;508937.71;347;437;-52.45;127.55
A;191273.36;508938.32;346;438;-52.45;127.55
A;191274.15;508938.93;346;500;-52.45;127.55
A;191274.94;508939.54;346;500;-52.45;127.55
A;191275.73;508940.14;18;500;-52.45;127.55
A;191276.53;508940.75;18;500;-52.45;127.55
A;191277.32;508941.36;17;500;-52.45;127.55
A;191278.11;508941.97;17;500;-52.45;127.55
A;191278.91;508942.58;17;500;-52.45;127.55
A;191279.7;508943.19;17;500;-52.45;127.55
A;191280.49;508943.8;17;500;-52.45;127.55
A;191281.28;508944.41;17;500;-52.45;127.55
A;191282.08;508945.02;17;500;-52.45;127.55
A;191282.87;508945.63;17;500;-52.45;127.55
A;191283.66;508946.24;17;500;-52.83;127.17
A;191284.46;508946.84;23;500;-53.02;126.98
A;191285.26;508947.45;333;500;-53.02;126.98
A;191286.06;508948.05;333;500;-53.02;126.98
A;191286.86;508948.65;21;500;-53.02;126.98
A;191287.66;508949.25;21;500;-53.02;126.98
A;191288.45;508949.85;21;500;-53.02;126.98
A;191289.25;508950.45;21;500;-53.02;126.98
A;191290.05;508951.05;21;500;-53.02;126.98
A;191290.85;508951.66;21;500;-53.02;126.98
A;191291.65;508952.26;20;500;-53.02;126.98
A;191292.45;508952.86;20;500;-53.02;126.98
A;191293.25;508953.46;20;500;-53.02;126.98
A;191294.05;508954.06;20;500;-53.02;126.98
A;191294.85;508954.66;20;500;-53.02;126.98
A;191295.64;508955.27;20;500;-53.02;126.98
A;191296.44;508955.87;20;500;-53.02;126.98
A;191297.24;508956.47;20;500;-53.02;126.98
A;191298.04;508957.07;20;500;-53.02;126.98
A;191298.84;508957.67;20;500;-53.02;126.98
A;191299.64;508958.27;20;500;-53.02;126.98
A;191300.44;508958.88;20;500;-53.02;126.98
A;191301.24;508959.48;20;500;-53.02;126.98
A;191302.03;508960.08;20;500;-53.02;126.98
A;191302.83;508960.68;19;500;-53.02;126.98
A;191303.63;508961.28;19;500;-53.02;126.98
A;191304.43;508961.88;20;500;-53.02;126.98
A;191305.23;508962.49;17;500;-53.02;126.98
A;191306.03;508963.09;17;500;-53.02;126.98
A;191306.83;508963.69;17;500;-53.02;126.98
A;191307.63;508964.29;17;500;-53.02;126.98
A;191308.43;508964.89;17;500;-53.02;126.98
A;191309.22;508965.49;17;500;-53.02;126.98
A;191310.02;508966.09;17;500;-52.22;127.78
A;191310.81;508966.71;18;500;-52.02;127.98
A;191311.6;508967.32;38;500;-52.02;127.98
A;191312.39;508967.94;38;500;-52.02;127.98
A;191313.18;508968.55;46;500;-52.02;127.98
A;191313.97;508969.17;342;500;-52.02;127.98
A;191314.75;508969.78;342;500;-52.02;127.98
A;191315.54;508970.4;342;500;-52.02;127.98
A;191316.33;508971.02;342;500;-52.02;127.98
A;191317.12;508971.63;341;500;-52.02;127.98
A;191317.91;508972.25;342;500;-52.02;127.98
A;191318.7;508972.86;346;500;-52.02;127.98
A;191319.48;508973.48;385;500;-52.02;127.98
A;191320.27;508974.09;385;500;-52.02;127.98
A;191321.06;508974.71;348;500;-52.02;127.98
A;191321.85;508975.32;347;500;-52.02;127.98
A;191322.64;508975.94;340;500;-52.02;127.98
A;191323.42;508976.55;339;500;-52.02;127.98
A;191324.21;508977.17;339;500;-52.02;127.98
A;191325.0;508977.79;339;500;-52.02;127.98
A;191325.79;508978.4;339;500;-52.02;127.98
A;191326.58;508979.02;339;500;-52.02;127.98
A;191327.37;508979.63;339;500;-52.02;127.98
A;191328.15;508980.25;339;500;-52.02;127.98
A;191328.94;508980.86;340;500;-52.02;127.98
A;191329.73;508981.48;345;500;-52.02;127.98
A;191330.52;508982.09;307;500;-52.02;127.98
A;191331.31;508982.71;307;500;-52.02;127.98
A;191332.09;508983.32;306;500;-52.02;127.98
A;191332.88;508983.94;306;500;-52.02;127.98
A;191333.67;508984.56;306;500;-52.02;127.98
A;191334.46;508985.17;345;500;-52.02;127.98
A;191335.25;508985.79;344;500;-52.02;127.98
A;191336.04;508986.4;339;500;-52.02;127.98
A;191336.82;508987.02;339;500;-52.02;127.98
A;191337.61;508987.63;338;500;-52.02;127.98
A;191338.4;508988.25;338;500;-52.02;127.98
A;191339.19;508988.86;338;500;-52.02;127.98
A;191339.98;508989.48;340;500;-52.02;127.98
A;191340.77;508990.09;123;500;-52.02;127.98
A;191341.55;508990.71;123;500;-52.02;127.98
A;191342.34;508991.33;123;500;-52.02;127.98
A;191343.13;508991.94;123;500;-52.02;127.98
A;191343.92;508992.56;124;500;-52.02;127.98
A;191344.71;508993.17;342;500;-52.02;127.98
A;191345.49;508993.79;342;500;-52.02;127.98
A;191346.28;508994.4;341;500;-52.02;127.98
A;191347.07;508995.02;334;500;-52.02;127.98
A;191347.86;508995.63;334;500;-52.02;127.98
A;191348.65;508996.25;334;500;-52.02;127.98
A;191349.44;508996.86;303;500;-52.02;127.98
A;191350.22;508997.48;303;500;-52.02;127.98
A;191351.01;508998.1;302;500;-52.02;127.98
A;191351.8;508998.71;302;500;-52.02;127.98
A;191352.59;508999.33;330;500;-49.98;130.02
A;191353.35;508999.97;208;500;-48.72;131.28
A;191354.11;509000.63;208;500;-48.72;131.28
A;191354.86;509001.29;208;500;-48.72;131.28
A;191355.61;509001.95;208;500;-48.72;131.28
A;191356.36;509002.61;208;500;-48.72;131.28
A;191357.11;509003.27;208;500;-48.72;131.28
A;191357.86;509003.93;208;500;-48.72;131.28
A;191358.61;509004.59;67;500;-48.72;131.28
A;191359.37;509005.25;67;500;-48.72;131.28
A;191360.12;509005.91;67;500;-48.72;131.28
A;191360.87;509006.57;67;500;-48.72;131.28
A;191361.62;509007.23;67;500;-48.72;131.28
A;191362.37;509007.89;72;500;-48.72;131.28
A;191363.12;509008.55;207;500;-48.72;131.28
A;191363.87;509009.21;47;500;-44.53;135.47
A;191364.58;509009.92;46;500;-43.43;136.57
A;191365.26;509010.65;46;500;-43.43;136.57
A;191365.95;509011.37;47;500;-43.43;136.57
A;191366.64;509012.1;37;500;-43.43;136.57
A;191367.33;509012.82;37;500;-43.43;136.57
A;191368.01;509013.55;33;500;-43.43;136.57
A;191368.7;509014.28;33;500;-43.43;136.57
A;191369.39;509015.0;33;500;-43.43;136.57
A;191370.08;509015.73;33;500;-43.43;136.57
A;191370.76;509016.46;33;500;-43.43;136.57
A;191371.45;509017.18;33;500;-43.43;136.57
A;191372.14;509017.91;33;500;-43.43;136.57
A;191372.83;509018.63;34;500;-43.43;136.57
A;191373.51;509019.36;100;500;-43.43;136.57
A;191374.2;509020.09;100;500;-43.43;136.57
A;191374.89;509020.81;122;500;-41.82;138.18
A;191375.55;509021.56;180;500;-37.42;142.58
A;191376.16;509022.35;177;500;-37.42;142.58
A;191376.77;509023.15;177;500;-37.42;142.58
A;191377.38;509023.94;177;500;-37.42;142.58
A;191377.98;509024.73;177;500;-37.42;142.58
A;191378.59;509025.53;177;500;-37.42;142.58
A;191379.2;509026.32;190;500;-37.42;142.58
A;191379.81;509027.12;165;500;-37.42;142.58
A;191380.41;509027.91;143;500;-37.42;142.58
A;191381.02;509028.71;111;500;-37.42;142.58
A;191381.63;509029.5;111;500;-37.42;142.58
A;191382.24;509030.29;111;500;-37.42;142.58
A;191382.85;509031.09;80;500;-37.62;142.38
A;191383.46;509031.88;80;500;-38.4;141.6
A;191384.08;509032.66;77;500;-38.4;141.6
A;191384.7;509033.45;46;500;-38.4;141.6
A;191385.32;509034.23;35;500;-38.4;141.6
A;191385.94;509035.01;34;500;-38.4;141.6
A;191386.56;509035.8;34;500;-38.4;141.6
A;191387.18;509036.58;32;500;-38.4;141.6
A;191387.8;509037.37;32;500;-38.4;141.6
A;191388.43;509038.15;32;500;-38.4;141.6
A;191389.05;509038.93;32;500;-38.4;141.6
A;191389.67;509039.72;31;500;-34.86;145.14
A;191390.24;509040.54;31;500;-34.54;145.46
A;191390.81;509041.36;30;500;-34.54;145.46
A;191391.37;509042.18;30;500;-34.54;145.46
A;191391.94;509043.01;30;500;-34.54;145.46
A;191392.51;509043.83;30;500;-34.54;145.46
A;191393.07;509044.66;30;500;-34.54;145.46
A;191393.64;509045.48;30;500;-34.54;145.46
A;191394.21;509046.3;133;500;-34.54;145.46
A;191394.78;509047.13;133;500;-34.54;145.46
A;191395.34;509047.95;192;500;-34.54;145.46
A;191395.91;509048.77;187;500;-34.54;145.46
A;191396.48;509049.6;115;500;-34.54;145.46
A;191397.04;509050.42;114;500;-34.54;145.46
A;191397.61;509051.25;114;500;-34.54;145.46
A;191398.18;509052.07;114;500;-34.54;145.46
A;191398.74;509052.89;114;500;-34.54;145.46
