Sectie;Xcoord;Ycoord;dist_binnen;dist_buiten;angle_binnen;angle_buiten
A;199186.66;515698.01;500;500;-76.0;104.0
A;199187.63;515698.25;500;500;-76.0;104.0
A;199188.6;515698.49;500;500;-76.0;104.0
A;199189.57;515698.74;500;500;-76.0;104.0
A;199190.54;515698.98;500;500;-76.0;104.0
A;199191.51;515699.22;500;500;-76.0;104.0
A;199192.48;515699.46;500;500;-76.0;104.0
A;199193.45;515699.7;500;500;-76.0;104.0
A;199194.42;515699.95;500;500;-76.0;104.0
A;199195.39;515700.19;500;500;-76.0;104.0
A;199196.36;515700.43;500;500;-76.0;104.0
A;199197.33;515700.67;500;500;-76.0;104.0
A;199198.3;515700.91;500;500;-76.0;104.0
A;199199.28;515701.16;500;500;-76.0;104.0
A;199200.25;515701.4;500;500;-76.0;104.0
A;199201.22;515701.64;500;500;-76.0;104.0
A;199202.19;515701.88;500;500;-76.0;104.0
A;199203.16;515702.12;500;500;-76.0;104.0
A;199204.13;515702.37;500;500;-76.0;104.0
A;199205.1;515702.61;500;500;-76.0;104.0
A;199206.07;515702.85;500;500;-76.0;104.0
A;199207.04;515703.09;500;500;-76.0;104.0
A;199208.01;515703.33;500;500;-76.0;104.0
A;199208.98;515703.57;500;500;-76.0;104.0
A;199209.95;515703.82;500;500;-76.0;104.0
A;199210.92;515704.06;500;500;-61.23;118.77
A;199211.63;515704.45;500;500;15.61;-164.39
A;199211.36;515705.41;500;500;15.61;-164.39
A;199211.09;515706.38;500;500;15.61;-164.39
A;199210.82;515707.34;500;500;15.61;-164.39
A;199210.56;515708.3;500;500;-27.11;152.89
A;199210.89;515708.96;500;500;-69.19;110.81
A;199211.83;515709.32;500;500;-69.19;110.81
A;199212.76;515709.67;500;500;-69.19;110.81
A;199213.7;515710.03;500;500;-69.19;110.81
A;199214.63;515710.38;500;500;-69.19;110.81
A;199215.57;515710.74;500;500;-69.19;110.81
A;199216.5;515711.09;500;500;-69.19;110.81
A;199217.44;515711.45;500;500;-69.19;110.81
A;199218.37;515711.8;500;500;-69.19;110.81
A;199219.31;515712.16;500;500;-69.19;110.81
A;199220.24;515712.51;500;500;-70.59;109.41
A;199221.18;515712.85;500;500;-71.0;109.0
A;199222.13;515713.17;500;500;-71.0;109.0
A;199223.07;515713.5;500;500;-71.0;109.0
A;199224.02;515713.82;500;500;-71.0;109.0
A;199224.97;515714.15;500;500;-71.0;109.0
A;199225.91;515714.47;500;500;-71.0;109.0
A;199226.86;515714.8;500;500;-71.0;109.0
A;199227.8;515715.12;500;500;-71.0;109.0
A;199228.75;515715.45;500;500;-71.0;109.0
A;199229.69;515715.78;500;500;-71.0;109.0
A;199230.64;515716.1;500;500;-71.0;109.0
A;199231.58;515716.43;500;500;-71.0;109.0
A;199232.53;515716.75;500;500;-71.0;109.0
A;199233.47;515717.08;500;500;-71.0;109.0
A;199234.42;515717.4;500;500;-71.0;109.0
A;199235.37;515717.73;500;500;-61.28;118.72
A;199236.21;515718.19;500;500;-33.02;146.98
A;199236.75;515719.03;500;500;-33.02;146.98
A;199237.3;515719.87;500;500;-33.02;146.98
A;199237.84;515720.7;500;500;-33.02;146.98
A;199238.39;515721.54;500;500;-33.02;146.98
A;199238.93;515722.38;500;500;-33.02;146.98
A;199239.48;515723.22;500;500;-33.02;146.98
A;199240.02;515724.06;500;500;-33.02;146.98
A;199240.57;515724.9;500;500;-33.02;146.98
A;199241.11;515725.74;500;500;-33.02;146.98
A;199241.66;515726.57;500;500;-33.02;146.98
A;199242.2;515727.41;500;500;-33.02;146.98
A;199242.75;515728.25;500;500;-33.02;146.98
A;199243.29;515729.09;500;500;-33.02;146.98
A;199243.84;515729.93;500;500;-33.02;146.98
A;199244.38;515730.77;500;500;-33.02;146.98
A;199244.93;515731.61;500;500;-27.92;152.08
A;199245.38;515732.46;500;500;13.42;-166.58
A;199245.15;515733.43;500;500;13.42;-166.58
A;199244.91;515734.4;500;500;13.42;-166.58
A;199244.68;515735.38;500;500;13.42;-166.58
A;199244.45;515736.35;500;500;13.42;-166.58
A;199244.22;515737.32;500;500;13.42;-166.58
A;199243.99;515738.3;500;500;13.42;-166.58
A;199243.75;515739.27;500;500;13.42;-166.58
A;199243.52;515740.24;500;500;13.42;-166.58
A;199243.29;515741.21;500;500;13.42;-166.58
A;199243.06;515742.19;500;500;13.42;-166.58
A;199242.83;515743.16;500;500;13.42;-166.58
A;199242.59;515744.13;500;500;13.42;-166.58
A;199242.36;515745.1;500;500;13.4;-166.6
A;199242.13;515746.08;500;500;13.06;-166.94
A;199241.9;515747.05;500;500;13.06;-166.94
A;199241.68;515748.03;500;500;13.06;-166.94
A;199241.45;515749.0;500;500;13.06;-166.94
A;199241.23;515749.97;500;500;13.06;-166.94
A;199241.0;515750.95;500;500;13.06;-166.94
A;199240.77;515751.92;500;500;13.06;-166.94
A;199240.55;515752.9;500;500;13.06;-166.94
A;199240.32;515753.87;500;500;13.06;-166.94
A;199240.1;515754.85;500;500;13.06;-166.94
A;199239.87;515755.82;500;500;13.06;-166.94
A;199239.64;515756.79;500;500;13.06;-166.94
A;199239.42;515757.77;500;500;13.06;-166.94
A;199239.19;515758.74;500;500;13.06;-166.94
A;199238.97;515759.72;500;500;13.06;-166.94
A;199238.74;515760.69;500;500;12.91;-167.09
A;199238.52;515761.66;500;500;10.93;-169.07
A;199238.33;515762.65;500;500;10.93;-169.07
A;199238.14;515763.63;500;500;10.93;-169.07
A;199237.95;515764.61;500;500;10.93;-169.07
A;199237.76;515765.59;500;500;10.93;-169.07
A;199237.57;515766.57;500;500;10.93;-169.07
A;199237.38;515767.56;500;500;10.93;-169.07
A;199237.19;515768.54;500;500;10.93;-169.07
A;199237.0;515769.52;500;500;10.93;-169.07
A;199236.81;515770.5;500;500;10.93;-169.07
A;199236.62;515771.48;500;500;10.93;-169.07
A;199236.43;515772.47;500;500;10.93;-169.07
A;199236.24;515773.45;500;500;10.93;-169.07
A;199236.05;515774.43;500;500;9.05;-170.95
A;199235.89;515775.42;500;500;8.01;-171.99
A;199235.76;515776.41;500;500;8.01;-171.99
A;199235.62;515777.4;500;500;8.01;-171.99
A;199235.48;515778.39;500;500;8.01;-171.99
A;199235.34;515779.38;500;500;8.01;-171.99
A;199235.2;515780.37;500;500;8.01;-171.99
A;199235.06;515781.36;500;500;8.01;-171.99
A;199234.92;515782.35;500;500;8.01;-171.99
A;199234.78;515783.34;500;500;8.01;-171.99
A;199234.64;515784.33;500;500;8.01;-171.99
A;199234.5;515785.32;500;500;8.01;-171.99
A;199234.36;515786.31;500;500;8.01;-171.99
A;199234.22;515787.3;500;500;8.01;-171.99
A;199234.08;515788.29;500;500;8.01;-171.99
A;199233.94;515789.28;500;500;8.01;-171.99
A;199233.81;515790.27;500;500;8.01;-171.99
A;199233.67;515791.26;500;500;8.01;-171.99
A;199233.53;515792.25;500;500;8.01;-171.99
A;199233.39;515793.24;500;500;7.99;-172.01
A;199233.25;515794.23;500;500;7.09;-172.91
A;199233.12;515795.22;500;500;7.09;-172.91
A;199233.0;515796.22;500;500;7.09;-172.91
A;199232.88;515797.21;500;500;7.09;-172.91
A;199232.75;515798.2;500;500;7.09;-172.91
A;199232.63;515799.19;500;500;7.09;-172.91
A;199232.51;515800.19;500;500;8.26;-171.74
A;199232.36;515801.18;500;500;9.19;-170.81
